Eastern Conference,W,L,W/L%,GB,PS/G,PA/G,SRS,Year,Conference,Western Conference
Cleveland Cavaliers,22,28,.440,11.0,86.4,88.2,-0.94,1999,Eastern,
Chicago Bulls,13,37,.260,20.0,81.9,91.4,-8.58,1999,Eastern,
,Midwest Division,Midwest Division,Midwest Division,Midwest Division,Midwest Division,Midwest Division,Midwest Division,1999,Western,Midwest Division
,37,13,.740,—,92.8,84.7,7.12,1999,Western,San Antonio Spurs*
,37,13,.740,—,93.3,86.8,5.54,1999,Western,Utah Jazz*
,31,19,.620,6.0,94.2,91.9,1.39,1999,Western,Houston Rockets*
,25,25,.500,12.0,92.9,92.6,-0.17,1999,Western,Minnesota Timberwolves*
,19,31,.380,18.0,91.6,94.0,-2.50,1999,Western,Dallas Mavericks
,14,36,.280,23.0,93.5,100.1,-6.67,1999,Western,Denver Nuggets
,8,42,.160,29.0,88.9,97.5,-8.94,1999,Western,Vancouver Grizzlies
,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,1999,Western,Pacific Division
,35,15,.700,—,94.8,88.5,5.67,1999,Western,Portland Trail Blazers*
,31,19,.620,4.0,99.0,96.0,2.68,1999,Western,Los Angeles Lakers*
,27,23,.540,8.0,95.6,93.3,2.15,1999,Western,Phoenix Suns*
,27,23,.540,8.0,100.2,100.6,-0.89,1999,Western,Sacramento Kings*
,25,25,.500,10.0,94.9,95.9,-1.43,1999,Western,Seattle SuperSonics
,21,29,.420,14.0,88.3,90.8,-2.63,1999,Western,Golden State Warriors
,9,41,.180,26.0,90.4,99.2,-8.94,1999,Western,Los Angeles Clippers
Miami Heat*,52,30,.634,—,94.4,91.3,2.75,2000,Eastern,
New York Knicks*,50,32,.610,2.0,92.1,90.7,1.30,2000,Eastern,
Philadelphia 76ers*,49,33,.598,3.0,94.8,93.4,1.02,2000,Eastern,
Orlando Magic,41,41,.500,11.0,100.1,99.4,0.43,2000,Eastern,
Boston Celtics,35,47,.427,17.0,99.3,100.1,-1.00,2000,Eastern,
New Jersey Nets,31,51,.378,21.0,98.0,99.0,-1.18,2000,Eastern,
Washington Wizards,29,53,.354,23.0,96.6,99.9,-3.47,2000,Eastern,
Central Division,Central Division,Central Division,Central Division,Central Division,Central Division,Central Division,Central Division,2000,Eastern,
Indiana Pacers*,56,26,.683,—,101.3,96.7,4.15,2000,Eastern,
Charlotte Hornets*,49,33,.598,7.0,98.4,95.8,2.33,2000,Eastern,
Toronto Raptors*,45,37,.549,11.0,97.2,97.3,-0.46,2000,Eastern,
